-2:07	みなみ	
-2:00	おはデラ	
-1:43	Yuuki	ますてぃふ！
-1:17	83ヘチマ	
-1:16	瓦斯灯	
-0:28	pmdrill	ロリに見えた
-0:13	83ヘチマ	ついえら
-0:09	rosugi	ついえら
-0:04	Yuuki	ツイート
-0:04	ワタル	ツイート
-0:02	。メガネが本体	
-0:02	うにあ	ついえらー
0:01	ゴリシスタン	まふてぃすって言え！ おはしいな～
0:02	ぷりっつPretz	もう始まる！？ツイート
0:03	こぅいち。	
0:05	archer	ついえら
0:05	ぎるがめっしゅ	ツイート
0:07	aki	
0:07	ひがしのそら	
0:08	みなと	
0:08	ラクタムβ	
0:09	もんぬサマー	タイトルをメモ帳にしていくスタイル
0:10	ぺねみ	
0:11	rosugi	おはしいな〜
0:11	taketo RONA	
0:12	動物園マーボ	ついえら
0:13	ぷりっつPretz	
0:13	Yuuki	
0:14	ろか	
0:14	ワタル	
0:15	83ヘチマ	
0:16	うにあ	
0:17	あらいひと	
0:17	chromin クロミン	
0:18	青亀	
0:18	まっぴー	
0:18	すみすみ	ついえら！
0:19	もちピザ	おはますてぃふ
0:19	ジーク	おはマフティス～
0:20	夢たんぽ	
0:20	ちなまる	
0:21	マーニー	おはおもち
0:22	ぬんぬ	どもども
0:22	archer	
0:23	Taku.	
0:24	テルユウ	
0:25	牛タン将軍	おはぺっくす〜
0:27	ほしがみ	おはエバ
0:28	はんぺん	
0:28	木目	
0:28	月の石	
0:28	take 08	
0:29	taketo RONA	
0:30	あいす。	
0:31	にくきん	
0:32	ちなまる	
0:32	りん	角待ちマスティスは正義？
0:32	ビスズ	
0:33	ぎるがめっしゅ	
0:33	あやまいぶき	おはしいな〜
0:34	ぴぴ	
0:34	みなと	草
0:34	みんちこ	
0:34	うさみ	
0:35	桃purée	
0:35	もんぬサマー	おはござ〜
0:35	O Tomat	
0:35	テルユウ	おはおはおはってなんだ…？
0:35	ささのはさらさら	おはマスティフ〜
0:35	Keys	
0:35	はんぺん	
0:36	ゴリシスタン	おもちぃなさん！？
0:36	ぷりっつPretz	
0:36	tamonization	おは天使＝
0:37	アルミ缶	
0:38	nep	
0:38	83ヘチマ	
0:38	ぴーわいおー	
0:38	茄雪	
0:39	オルマン	
0:39	ルキルキ	おはしいな～
0:40	꽈자먹고갈래	こんにちは。😃
0:40	いちごっちゃ	おはー
0:40	機壱タクミ	
0:40	ぺねみ	
0:41	いもどろぼう	
0:41	はいどれ	
0:41	kiri	
0:43	うにあ	当てればいいのよ！！
0:43	まあライオン	おはしぃなー
0:43	月の石	当たれば
0:43	ハロ丸	
0:44	かそく	
0:45	オルマン	2回当てれば勝ちやん
0:45	こぅいち。	
0:46	ぺーきち	おはしぃな〜
0:46	archer	マスティフ当たればな〜
0:46	たこどん	おはてぃふ～
0:47	かべ	
0:47	ほしがみ	おもちスタンプ下さい
0:48	あかるる	おもちぃなさんに声似てますね
0:48	エーピー	
0:48	siki.	
0:48	ワタル	ますてぃすって言え
0:49	ノエル	おはしいな～
0:49	ガリレオ	
0:50	ハロ丸	スタンプかわいい！
0:50	ぽぽど	
0:50	密室少年	おはしいな～
0:50	リンタイラン	
0:51	ビスズ	
0:51	みんちこ	
0:51	嶋じろー	
0:52	るかち	
0:52	にくきん	マスティフ13しか入らん；；
0:52	人喰いリス	マスティフです！
0:53	ぽたもげ	
0:53	アルミ缶	答えはでたな
0:53	ハロ丸	
0:54	りん	マスティス
0:54	きしろう	好み
0:54	障子にメアリー	
0:54	クリ	両方や！
0:54	伊豆半島	
0:55	ほしがみ	どっちも！！！！！！！！
0:55	ラクタムβ	まふてぃす！
0:55	生姜えーる	ジブならマスティフ
0:55	オルマン	マスティフだよなぁ！！！
0:56	ゴリシスタン	いきなりテンション高くて草
0:56	テルユウ	モザビ
0:56	83ヘチマ	まふてぃすだろ！
0:56	リンタイラン	
0:56	無垢-muku-	
0:57	そらこ	当てれないカスダメマスティフなら
0:58	蓬莱来訪	おは大福～
0:59	エーピー	せやな
0:59	ふぉるす	おはますてぃふ～
1:00	動物園マーボ	当たればな
1:01	桃purée	俺は
1:01	うにあ	当てればいいのよ！！
1:02	村田ネギ	
1:02	もんぬサマー	エイペックス、マスティフ持つか？エバ持つか？
1:02	ちなまる	そらマスティフよ！
1:02	黎明卿新しきボンドルド	
1:03	月の石	エバが良いです先生
1:03	はいどれ	答えはピスキ
1:04	チンジャオラー	
1:04	ぷりっつPretz	かすれば
1:04	ブレイブ	
1:04	クレイジーサン	EVA8なら2発当たるぞ
1:05	あいす。	マスティフやな
1:05	佐藤健	おはマスティフ～
1:06	アカうぃん	
1:07	あさむ	
1:07	ハロ丸	
1:09	必死な菱川	
1:10	はんぺん	かっけぇっす！
1:11	うにあ	ワンちゃんだよ！！
1:11	いちごっちゃ	しぃしぃなら当てられるからどっちでもええんちゃう
1:11	トトstdio	モザンビークヒア
1:11	꽈자먹고갈래	game start !😀
1:12	siki.	心理だね
1:12	夢鹿	うぃんぐまんもつ！
1:13	博多の塩	
1:13	もやし	一撃必殺
1:15	ほくりん	
1:15	ソルティレージュ	おはしいな～
1:15	あき	
1:16	ワタル	あたれば勝ちとか最強じゃね？
1:18	りん	
1:20	あかるる	実際ジブならマスティフだよね
1:22	ラジェル	両方持てば最強では？
1:25	まっぴー	当てる練習しなくても大丈夫なんかな
1:27	おもちむぽ	EVA
1:29	ハロ丸	
1:33	IQ 6	ハサミギロチン理論
1:34	kou	
1:35	ほくりん	
1:36	うにあ	ジブならマスティフでいきたいよね
1:43	みんちこ	
1:44	つなつな	
1:45	ぷりっつPretz	一発でアーマー割れた時の爽快感は凄い
1:46	83ヘチマ	ウィングマンも当たれば強いぞ
1:47	スバりばー	ウィングマン理論
1:47	kou	
1:50	はいどれ	その理論で行くならウィングマンも使えるな！
1:50	まっぴー	
1:51	archer	じゃあもうマスティフだけでいいじゃん
1:53	yasu fuji	おはもち
1:55	オルマン	
1:56	いもどろぼう	
1:57	G3R	
1:57	桃purée	にーじさんじ！
1:58	ミドレー	
1:59	꽈자먹고갈래	go go😁
2:01	うにあ	ウイングマンも使えというのか！！
2:01	ワタル	ダブルタップしていけ
2:03	なつめ大尉	
2:03	アキパン	おはしいな～
2:03	オルマン	おかえりー
2:04	夢たんぽ	
2:05	そらこ	ウイングマンマスティフでいこう
2:06	ねこさん1号	おはようございます
2:08	ゴリシスタン	
2:08	リンタイラン	
2:09	sho ma	おはしぃな〜！
2:09	黎明卿新しきボンドルド	草
2:11	のりおくん	はい。
2:11	Taku.	
2:16	血塗られたトマト	あれれれれれれ？もうやらないじゃないんですか？
2:17	月の石	やってる
2:19	K K	おはまんじゅう
2:22	いちごっちゃ	マスティフしぃしぃ
2:23	みなと	はい
2:24	ジェイソンステイサム	
2:25	うにあ	APEXしかねえなー
2:26	動物園マーボ	ヤバいな
2:27	まっぴー	せやで
2:27	エーピー	あてぃしの履歴
2:29	ワタル	あぺりすぎてんなー
2:29	唐揚げ定食	ダブルマスティフあつい
2:30	フォルモサゴリラー	やってない
2:31	かそく	一覧見たら草
2:31	人喰いリス	ていうかにじさんじが今アぺすごいよね
2:31	ジーク	エペとホラゲよ
2:33	うにあ	そうだねーｗ
2:33	エーピー	草
2:33	ガリレオ	同じサムネイルが
2:34	アキパン	草
2:34	ラクタムβ	草
2:35	アカうぃん	草
2:37	クリ	確かに
2:37	tamonization	おもろいからええで
