-7:16	かおう_____ta	間に合った！あぺダイヤおめでとう！！！	￥2,000
-1:07	メインクーン	夜見さん！？
-1:05	オクラトラ	金遣いの荒い夜見
-1:02	加藤	お↑かね〜
-1:02	かずよし	ツイステ、りりむにバラされてて草
-1:01	Handsome Cai	草
-1:00	Yuri	おかね〜
-0:57	からすめ	このゲーム課金やばそうだよなあ
-0:53	Rei_ S2	りりむ最近晒しがち
-0:49	かそく	りりむに晒されてて草
-0:48	フィリパ	これかなり先まで一緒にできないよね
-0:46	うにあ	急に始めるじゃんｗ
-0:37	たべっちかにっち	草
-0:35	すけ雪	ガチャもおまけって感じじゃない？？？
-0:32	taketo RONA	ラインてぇてぇ()
-0:32	楪*	晒されるの草
-0:30	いっと	りりむに晒されてんの最高に草
-0:28	うにあ	ツイステｗｗ
-0:28	エーピー	椎名さんツイステ草
-0:26	ぎの	草
-0:24	ななかな	ツイート
-0:24	Rei_ S2	やるぞ
-0:23	めんとす	やるぞ
-0:21	しゃけねこ	草
-0:21	テルユウ	ツイステとか一ミリも興味なさそうなのにやってて草
-0:21	じゅるり	りりむに馬鹿にされてて草
-0:19	放浪者	面食いがよお
-0:18	凝固	ツイステく
-0:15	凝固	草
-0:15	ワタル	突然色々始めるやんｗ
-0:13	カービィ	やるぞ
-0:12	正義。	草
-0:12	オルマン	草
-0:12	よういち	草
-0:10	ガリレオ	やるぞ
-0:10	えすこんじ	ツイステ意外性高すぎで笑う
-0:10	souji	ツイステ草
-0:09	まんもす	原神 利用規約の件で問題があったらしいのでダウンロードする際は気をつけて。
-0:09	ねこわん	ほんまやｗ
-0:08	ぐだのすけ	草
-0:07	とろんべー	ツイステの沼に沈める妖怪が同僚にいるから
-0:05	akie kokos	ガチャは確立がやばい
-0:04	WRyou_Italy	りりむに晒されてるの草
-0:04	Rei_ S2	ツイートえらい
-0:02	博多の塩	草
-0:01	松井、	ツイステにハマってて草
-0:01	うにあ	めちゃやる気勢じゃん
-0:00	けもー	椎名さん面食いだしそりゃね
0:02	ふりっつ	誘っといてすぐ辞めそう
0:03	Yuri	ツイステやる？
0:06	かおう_____ta	
0:07	うさみ	ツイステしてるんだｗ
0:07	オルマン	しぃしぃやってるならツイステ始めようかな
0:08	Alfled 1021	押し一緒で嬉しい
0:08	burton	
0:10	こしあん	椎名さんまでツイステの沼に沈められてて草
0:11	むせ	ついステハマったんか
0:11	桃花	始まるか
0:12	アズキ8	
0:13	ソーセン	しぃしぃイケメン好き晒されてるじゃん
0:14	KeyKey	りりむにさらされてて草
0:15	taketo RONA	急にきた
0:15	Rei_ S2	
0:15	Tomo Tomo	晒されをリツしてて草
0:16	しゃけねこ	
0:18	湯たんぽネコ	何十連かしたけど最低保証しか出なかったゾ
0:18	めんとす	おはクズ
0:18	全肯定ペンギン	ツイステやるん？w
0:18	ツバキ	cm
0:20	餡ころ餅ゆっくりーむ	草
0:20	ねこわん	
0:20	Sasha Vibration	きちゃ
0:20	みっつ	リセマラ30分30連で0.6%ha
0:21	ケンフー	こんばん
0:21	カービィ	
0:22	心刃	
0:22	つなつな	
0:23	V好きホリィ	きちゃ～
0:23	とろんべー	ツイステインストールするかぁ
0:23	かそく	
0:23	チナヤマです。	ツイステ意外やな
0:24	えすこんじ	
0:24	あやまいぶき	きちゃ〜
0:25	えびふらいしゅりんぷ	
0:25	ながやま	ツイステやろうぜ
0:25	玉ねぎドレッシング	
0:25	チョボマ	
0:26	accelアクセル	
0:26	Rinka	おはしいなー
0:26	ダックスフント	推しできてて草
0:26	ユーリンチー	椎名さんユードリックに夢女子やってたから...
0:28	G- ORAGON	
0:28	taketo RONA	OPきちゃ
0:28	ひらまる	お
0:28	アキパン	OPきちゃあああああ
0:29	なや	
0:29	みなと	
0:29	しらたま	きちゃ
0:29	KeyKey	
0:29	松井、	OP
0:29	透	
0:29	ターキー	ぶつ切り待機
0:29	なつめ大尉	
0:30	エンド。	きちゃ
0:30	よういち	フェードアウト待機
0:30	のむ	ツイステ実況うおおおおおおお
0:30	おこめ鳳仙鬼	
0:31	ラクタムβ	おはしいな
0:32	ヴィヴィ	おはぶつぎり～
0:32	光	おはクズー
0:32	伊吹疾風	
0:32	サバ吉	
0:32	楪*	
0:32	博多の塩	
0:33	pankys	
0:33	正義。	
0:33	夢たんぽ	
0:33	ふぉぐ。	
0:33	かざ	
0:33	オクラトラ	ツイ（ステ）えら
0:33	kn z	ツイステ草
0:34	青いザリガニ	
0:34	シャムねこ	
0:34	ジーク	おはツイス・・・原神～
0:34	いっと	
0:35	しゅーやんだぬき	きちゃあ
0:35	ソーセン	ぶつ切り待機
0:35	iroha ao	おはぶつ切り
0:35	あらいひと	
0:35	けんばく	
0:36	発草	ぶつ切り定期
0:37	オルマン	OP！！
0:37	ないむん	
0:37	黒蜜糖 Black sugar	おはついステ〜
0:38	かん太郎999	
0:38	ねるしー	おはしいな
0:38	水木あやせ	
0:38	ひこわさ	
0:38	Rei_ S2	
0:38	めんとす	よゆみフェードアウト教えて
0:39	83ヘチマ	かわいい
0:39	七尾七葉	
0:39	ちもん	ブツギリ待機
0:39	かんぱち	
0:39	かたなし。	おはしいな
0:39	洗濯テレビ	
0:40	ながねぎ	ツイステの配信はここですか？
0:41	aki	
0:41	なおみNo.1	おはしいな
0:41	いちご大福	
0:41	;;	あ
0:41	フナムシ	おはぶつ切り
0:41	うさみ	ぶつ切り待機
0:42	Suzuya	
0:42	松井、	ぶつ切り待機
0:42	pelle	
0:42	かずよし	レオナ、かっこいいよな
0:42	加藤	ぶつ…ぶつ…
0:44	南太一	きちゃ
0:44	嶋じろー	
0:45	オルマン	
0:45	rosugi	まさかぶつ切りなわけ
