-0:19	マネキン	ツイートえらい！
-0:18	ぺねみ	ついえら
-0:18	B 5	
-0:18	ぎるがめっしゅ	ツイート
-0:18	アカうぃん	ツイート
-0:18	あ。	
-0:18	マカロニ。	待つよ
-0:18	直樹カナン	しぃしぃ寝てなきゃいいが
-0:17	楪*	ツイート
-0:17	DDクロウ	ついえら、
-0:17	ちゃぽた	ついえら
-0:15	field ster	エナドリ飲んでた
-0:14	だいふく	ついえら
-0:14	ドレ森	ついえら
-0:14	加藤	ついえら
-0:13	須藤廻	ごめねむ？
-0:13	モントゥトゥユピー	しぃしぃ！？
-0:13	folma	ついえら
-0:12	エルベル	ツイート
-0:12	永久機関回転寿司	ついえら
-0:12	焼きナス	ツイート
-0:11	硯ン	ついえら
-0:11	アキパン	きちゃああああああ
-0:10	えいの	ツイ
-0:10	ながねぎ	えっろ
-0:09	Suzuya	つい
-0:08	よういち	ツイート
-0:08	ヴィヴィ	起きれてえらい
-0:08	つなつな	
-0:08	たすく	
-0:07	ルキルキ	ついえら
-0:07	なつ	50
-0:07	桃花	来るか！
-0:06	ネムイ	ツイート
-0:06	KeyKey	ツイート
-0:05	チナヤマです。	ついえら
-0:05	yuyu sasa	
-0:04	ガリレオ	ツイートえらすぎ
-0:03	スーパーなきゅうり	ついえら
-0:02	青いザリガニ	ツイートえらい
-0:01	正義。	ついえらあ
-0:01	福耳	ついえら
-0:01	ミネストローネ軍曹	ついーと
-0:00	ほほいほい	ついえら
-0:00	5 6	ZONE
-0:00	立花銀千代	ついえら
-0:00	Yuuki	ツイえら
0:03	かそく	ついえら！
0:03	名無。	しぃしぃだぁ
0:03	餡ころ餅ゆっくりーむ	ついえら
0:03	能あるフグは棘を隠す	ついえら
0:03	洛水佑馬	ツイート
0:03	レイゴジラ	ツイート
0:03	みずなぎ	ついえら
0:04	とくじぃ	偉い
0:04	ワタル	ツイート
0:06	川原太一	つい
0:08	イープカ	ついえら
0:08	ブラホ	とにかくえらい
0:09	ほくりん	今年もかましたれー
0:09	かおう_____ta	
0:10	a bc	100
0:10	ぐだのすけ	
0:11	まるふぉい	おはしいな〜
0:11	マカロニ。	ツイえら！
0:11	pankys	
0:11	えびリンプ	おはしいいなああああ
0:12	テルユウ	
0:12	Y N	
0:12	凝固	
0:13	あゆさ	
0:14	ましーろ	強振を信じろ
0:14	加藤	おは筋肉同盟〜
0:14	ぷりっつPretz	
0:14	みなみ	
0:15	しーく	
0:15	ユキダルマ	おは甲子園
0:15	かそく	
0:15	ネムイ	
0:15	村田ネギ	
0:15	ふくざわゆきち	
0:15	Gリスナー	おはしぃな～
0:16	松井、	おはしいな
0:16	PPP	おはチャイカ打て～
0:18	サイコクザクリッチ	ついえら
0:18	aki	
0:18	GG C	
0:18	青いザリガニ	
0:18	クリ	おはすぃーなー
0:19	Rコディーノ	
0:19	しゃけねこ	
0:19	ミネストローネ軍曹	
0:19	レイゴジラ	
0:19	ソフィ	
0:19	ふりっつ	おは筋肉同盟～
0:19	つなつな	
0:19	folma	エナドリ決めてたか
0:20	うにあ	
0:20	ひがしのそら	
0:20	ちゃんみあ	
0:20	みぃ	
0:21	アキパン	おは筋肉同盟
0:21	はんぺん	おはすぃな
0:21	Mine	ついえら
0:21	もちピザ	おは再起
0:22	Taku.	
0:23	TNTマン	
0:23	piyo piyo	ちゃんと起きれてえらい！！
0:23	Aris	
0:24	Virra	
0:24	けんばく	
0:24	yuyu sasa	おは
0:25	ぺねみ	
0:25	村田ネギ	早起きだ
0:25	ルドラ	おは大福
0:25	楪*	
0:25	なや	
0:26	わーるはいと	よく起きれたね
0:27	月の石	
0:27	ろととと	おはし〜
0:27	まあライオン	いきなり元気やん
0:28	牛タン将軍	起きてるやんけ！！
0:28	おたた	ついえらきちゃ
0:28	エルベル	
0:28	ブラホ	
0:28	焼きナス	
0:28	Rain	
0:29	あいざわうえお	おは筋肉同盟～～～
0:29	fulひゅーる	
0:29	WRyou_Italy	おは筋肉ー
0:30	gÖzaじゃぎあ	おはチャイカ
0:30	エアコンのリモコン	
0:30	たべっちかにっち	
0:31	館橋水奈都	おは筋肉同盟
0:31	黎明卿新しきボンドルド	
0:31	まっぴー	
0:32	ぎるがめっしゅ	
0:32	ジーク	おは筋肉同盟
0:33	はいどれ	おは筋肉同盟～
0:33	てぃれもん	
0:34	ヴィヴィ	おは筋肉同盟
0:34	博多の塩	
0:34	ないむん	
0:35	正義。	おは筋肉
0:35	スゲ	おは中堅
0:35	Malta	
0:35	さちくろ	
0:35	立花銀千代	おは筋肉同盟
0:35	ダックスフント	
0:35	R K	★8/21定期
0:35	A00	
0:35	びび	
0:35	なつめ大尉	
0:35	ドレ森	おは最終日
0:36	zale	チャイカは撃てないのでＮＧ
0:36	Luore / ルオレ	
0:36	スーパーなきゅうり	おは筋肉同盟
0:36	ささのはさらさら	おはチャイカ〜
0:36	餡ころ餅ゆっくりーむ	ほんとぉ？
0:37	焼きナス	おは筋肉同盟
0:38	ルキルキ	おはくず
0:38	シャムねこ	
0:39	葉セロリ	起きれてえらい
0:39	ひがしのそら	ならいいね
0:39	ゆうきぽん	
0:39	あるは/ Alfa uhi	じゃあ大丈夫かな！
0:39	うにあ	さっきならだいじょぶか
0:40	Suzuya	起きれて
0:41	つふぃー	こんれーなー
0:41	あん太1496	おは筋肉同盟〜
0:41	ガリレオ	
0:41	スバりばー	おは天才ー
0:42	siki.	
0:42	パピコ	おはくず
0:43	圧倒的山田	起きててびっくり
0:43	イッヌ	草
0:43	マカロニ。	おはしいなぁぁ
0:43	魔サイの戦士	
0:43	村田ネギ	きのせい
0:44	ぐだのすけ	草
0:44	。あとね	おは筋肉同盟
0:44	神田ノ	
0:44	おこめ鳳仙鬼	
0:44	松井、	潤ってる
0:44	Metallic	草
0:44	しぃゆぅ	
0:44	えいの	
0:44	テルユウ	気のせい
0:45	ふくざわゆきち	草
0:45	Keys	ないですね
0:45	放浪者	
0:45	さんじおじ	なにいってんだ？
0:46	櫻井海都	誤差
0:46	yuyu sasa	エナドリか
0:46	川原太一	きのせい
0:46	ma_siku	気のせい
0:46	かかと	うるおい椎名
0:47	篝火カガリビ	カスカスやぞ
0:47	からすめ	きのせい
0:48	加藤	にせものか！？
0:48	アッシマー	
0:48	Virra	気のせいですねぇ・・・
0:48	ほくりん	
0:48	アキパン	それは気のせい
0:49	しーく	カスカスやぞ
0:49	Bell	きのせい
0:49	しゃけねこ	草
0:49	黎明卿新しきボンドルド	気のせい
0:50	_ actor	おはらじ
0:50	B 5	
0:51	豆豆	音ズレしてないやんけ！
0:51	ぎるがめっしゅ	それは気のせいw
0:51	カモン	気のせいやな
0:52	ココノハ	おは筋肉同盟
0:52	オクラトラ	おは天才肌
0:52	kamigataneguse	
0:52	悲鳴	はじまた
0:52	eland19	きのせい
0:52	矢瀬	
0:54	WRyou_Italy	いつも通りカスカスだよ
0:54	こまち	気のせいでます
0:54	しんたαθ	むしろガラってるが
0:54	笹かまぼこ	回復〇じゃん
0:55	クリ	え？
0:55	関屋あきら	みずみずしぃしぃ
0:55	うどんこねっと	きのせいやね
0:55	KeyKey	カッスカスやぞ
0:55	焼きナス	潤いの椎名
0:56	アズキ8	きのせい
0:56	多夢	きのせい
0:56	魔サイの戦士	気のせいやな
0:56	生姜えーる	かすかすや
0:57	えいの	良かった元気だ
0:57	A00	きのせい
0:57	イクヤ	きのせい
0:57	みゃおん	
0:58	弾当てられない	気のせい
0:59	シスト / CISTE	
0:59	pじろー	きのせい
0:59	ちょる	
1:00	かずき	草
1:01	おこめ鳳仙鬼	エナドリパワーか？
1:02	サバ吉	
1:02	ブラホ	【前回のあらすじ】新入生を迎えて２年目の夏に突入したにじさんじ高校野球部。着実に特技を身につけてきた2年生だけでなく、1年生の筋肉同盟などの力を合わせて順調に夏の公式戦を勝ち上がっていく。椎名監督のパリコレ戦法で感動的な逆転劇を見せ、決勝に進出するも惜しくも1点差で負けてしまう…。しかしゴリスナー達やしぃしぃは、にじさんじ高校が確実に甲子園に近付いていると実感していくのであった。
1:02	!マイン	草
1:02	クレシアン	
1:02	kent fukushima	
1:02	寺生まれの先輩T	こえがなめらか
1:02	楪*	気のせい
1:02	かおう_____ta	いつもよりカス度が低い気はする！
1:02	いちごだいふく	いつも通りカスカスだよ
1:03	SANA	今までも潤ってた時はないぞ
1:03	ドンノリ	昼配信してるからか？
1:04	咲久-さく-		￥500
1:05	アムアム	
1:06	ryu say	おは筋肉同盟
1:06	ごりじゃくそん	むしろいつもよりカスカスやん！
1:07	スーパーなきゅうり	
1:08	モコモコ	
1:08	zale	酔ってる？
1:08	ずんずん	すぐかすれるやろ
1:08	さかりく	おはユードリック筋肉同盟
1:09	ヨシフ・スターリン	喉大丈夫か
1:09	よっしぃ	
1:09	South Shinasu	ちゃんと寝れた？
1:10	ユユユ	気のせい
1:12	黎明卿新しきボンドルド	むしろ声に疲れが見える
1:13	だし濃厚きつねうどん	カッスカスや
1:13	フォルモサゴリラー	かっすかす
1:13	うにあ	叫びすぎましたね
1:14	KeyKey	長時間が連日だしね
1:14	ゆの	監督みんな叫んでてヤバい
1:14	鶴部織羽	おはしいな～
1:15	桃園あい	喉飴舐めてもろて
1:17	UMA	命乞いしまくるからや
1:17	イープカ	すじニキたすかる
1:17	メノウ	
1:17	みぃ	監督ノドが。。
1:18	福耳	おは気のせい～
1:18	ターニングポイント	まあ昨日喉調子悪いっぽかったのに比べたら？
1:18	TARI	こんにちは～
1:19	もこもこありえす	
1:20	ぬーみん	大丈夫だよいつも通りカスカス
1:20	さちくろ	栄冠ナイン実況あるある
1:20	中空chukuu	
1:20	トップシークレット	まだ一年三ヶ月しか経ってないのか
1:21	加藤	あらすじニキたすかる
1:22	マコリーヌ	起きれてえらい
1:22	san pao	花澤香菜さんのチャンネルはここですか？
1:22	ないむん	草
1:22	焼きナス	あらすじきた
1:22	れいん	
1:23	もんもんワールド	喉壊してないの剣持くらいだよ
1:23	モコモコ	あらすじニキいいね
1:24	悲鳴	どっからだっけ
1:24	なや	監督全員壊してそう
1:25	松井、	あらすじニキ助かる
1:26	おもちもちもち	あらすじたすかる
1:26	Yuuki		￥500
1:26	脱走したゴリラ	それもこれもチャイカってやつのせいなんだ
1:27	うどんこねっと	あらすじ助かる
1:27	ワタル	スパイしてんねぇ
1:28	nobu	リゼとかも喉やられちゃってる
1:28	もか	
1:28	ガリレオ	はいかわいい
1:28	オクラトラ	あらすじ助かる
