-1:58	Robert Peary	Tik.....Tok is time~
-1:53	放浪者	
-1:47	けもー	ふしみがく
-1:45	エアコンのリモコン	
-1:39	長岡	ツイート
-1:37	ふくざわゆきち	
-1:37	́しょーゆー	
-1:36	星野空	ついえら
-1:32	こしみつ	ついえら
-1:28	Aris	
-1:27	長岡	
-1:27	Metallic	
-1:26	アキパン	ついえら
-1:25	ぷりっつPretz	ツイート
-1:24	́しょーゆー	
-1:22	ヘィヴンダックス	ツらい
-1:19	たべっちかにっち	ついえら！
-1:19	かわ3	ツイート
-1:18	まっぴー	ツイートできてえらい
-1:15	かそく	ツイート
-1:13	Fupamu/ふぱむ	ういえら
-1:10	青いザリガニ	ツイートえらい
-1:09	カービィ	ついえら
-1:08	rosugi	ついえら
-1:07	長岡	二分後になったw
-1:06	中野	
-1:06	レイゴジラ	ツイート
-1:04	ななかな	ツイート
-1:03	瓦斯灯	
-1:02	テルユウ	ついえら
-1:01	ジーク	ランクでやるのか
-0:58	ひこわさ	ツイート
-0:57	はいどれ	３人共ついえら
-0:55	ふぉるす	ツイート
-0:54	ヘンゲ	おっ
-0:49	ネムイ	ツイート
-0:44	放浪者	つい
-0:43	くんくん	現レナシィ
-0:43	かずき	ついえら
-0:42	うにあ	ついえら～
-0:37	楪*	ツイート
-0:35	つなつな	
-0:33	ヘィヴンダックス	まだ名前決めてなくて草
-0:24	Rei_ S2	ついえら
-0:22	のむ	
-0:14	ぎるがめっしゅ	ツイート
-0:11	あいす。	ツイート
-0:06	うりす	ついえら
-0:03	てぃれもん	ついえら
-0:03	ねこさん1号	ゴーストレジスタンスとか良さそう
0:03	こまち	ついえら
0:03	鶴部織羽	しいよるみよみ？らしい
0:04	ワタル	ツイート
0:05	83ヘチマ	ついえら
0:06	HAN ZO	ツイート
0:07	かおう_____ta	
0:07	えいの	つい
0:08	ネリー・モノ	
0:08	ラクタムβ	ツイートえらい！
0:11	ネムイ	
0:13	O T	最協大会？でるのかあ
0:13	ぐだのすけ	
0:14	みんちこ	
0:14	クーラー	
0:15	たべっちかにっち	
0:15	うにあ	なんでよｗｗ
0:16	pankys	
0:16	黛ヒロユキ	
0:17	レイゴジラ	
0:17	夜見れな/yorumi rena【にじさんじ所属】	ツイートえらいな・・・
0:18	てぃれもん	
0:18	かわ3	
0:18	ななかな	
0:18	かそく	
0:19	Rコディーノ	
0:19	村田ネギ	
0:20	kbf kbf	こんれーなー
0:20	Aris	
0:20	桃花	おはしいな～
0:20	へっぽこなつ。	
0:20	うりす	
0:21	Iceman	
0:21	ひこわさ	
0:21	83ヘチマ	しぃよみよるみ
0:21	Rei_ S2	おはしいな～
0:21	カービィ	
0:22	夢たんぽ	
0:22	かずき	
0:22	かおう_____ta	はじまった！
0:22	バーガー丸山	はじまった！
0:22	ひがしのそら	
0:22	ワタル	
0:23	みなみ	
0:23	うにあ	はじまったよ
0:23	イド	
0:23	エンジュ	始まった
0:23	ケンフー	こんばん
0:24	taka坊	ついえら～
0:24	めぐすけ	
0:25	sayyoh	始まったぞ
0:25	かおう_____ta	どもども！
0:26	てぃれもん	こんれーなー
0:26	あらいひと	
0:26	なや	
0:27	はいどれ	
0:27	洛水佑馬	
0:27	リンタイラン	
0:27	Yuuki	
0:28	アキパン	おはしぃよみよるみ～
0:28	ヘィヴンダックス	こんばん
0:28	もこもこありえす	
0:28	サワリハス	おはしいな～
0:29	ガリレオ	
0:29	Sekitoセキト	
0:29	ぷりっつPretz	
0:29	とおのマン	
0:29	サイバラ	どうもー
0:29	黎明卿新しきボンドルド	
0:30	がらなちゃん	
0:30	ジーク	おはチーム名募集
0:30	ちなまる	こんれーなー
0:31	みんちこ	
0:31	まさなる	ぇあ〜〜
0:32	ryu yan	おはしぃなぁ
0:32	うにあ	
0:32	オルマン	
0:32	もみさん	
0:32	ROOTS	
0:32	-銘-あき-A ki	
0:33	つなつな	
0:33	みなみ	
0:33	ふりっつ	
0:33	Metallic	
0:33	かわ3	こんれーなー
0:33	83ヘチマ	
0:34	さかあがりぼうず	
0:34	イマガセ	
0:34	ぐだのすけ	よるみｗ
0:34	Taku.	
0:36	archer	
0:36	くろあた	おはしぃにゃ～
0:37	まー。	
0:37	fulひゅーる	
0:38	篝火カガリビ	
0:38	博多の塩	
0:38	accelアクセル	
0:39	かわ3	適当で草
0:39	がらなちゃん	草
0:39	シャムねこ	こんれーなー
0:39	伊豆半島	
0:39	えびふらいしゅりんぷ	
0:40	ティガッツ	おは？しいな〜
0:41	beyond	
0:41	こしみつ	
0:41	放浪者	
0:42	ふくざわゆきち	草
0:42	楪*	
0:42	ネムイ	草
0:42	てぃれもん	草
0:42	求-矢澤	それな
0:42	YûRi《ユーリ》	
0:42	テルユウ	え？
0:42	ケンフー	夜見おるが
0:42	みなみ	こんれーなー
0:42	ふぉるす	
0:44	Metallic	草
0:45	かそく	草
0:45	あいす。	
0:45	ターニングポイント	
0:45	fulひゅーる	草
0:45	木目	
0:45	みなみ	草
0:46	テルユウ	
0:46	黎明卿新しきボンドルド	他二人要素なしw
0:46	ラクタムβ	草
0:46	めんとす	？
0:47	アムオス	
0:47	伊豆半島	やすそう
0:47	うにあ	ｗｗ
0:47	なぎのこ	こんれ～な～
0:47	テラアル	あほらしぃなぁ〜
0:47	シーチキンギィ	こんしいなー
0:48	ぐだのすけ	草
0:48	ネリー・モノ	こんれーなー
0:48	ドドンドドンドド	
0:48	ちなまる	草
0:49	とおのマン	草
0:49	けもー	
0:49	アキパン	おはしいなの安売り
0:49	misty2452	夜見さん！？
0:49	kbf kbf	安いだろ
0:49	鳥取太郎	じゃあおはくずで
0:52	テルユウ	なんのプライドだよ
0:52	青いザリガニ	
0:52	Virra	おはくずで
0:53	たべっちかにっち	人のはパクるのにｗ
0:53	Rain	
0:54	ただのゲーム好き	こんばんしいな
0:55	どどDodo	
0:55	るたろー	おはしいな〜
0:55	エンジュ	こんれーなー
0:56	ヘィヴンダックス	チーム名もそんなに安くねーよ
0:57	kbf kbf	チームこんれーな
0:59	テルユウ	よみよるみいな
0:59	焼きナス	おはクズ安いよ
0:59	中野	よしみ
1:00	サワリハス	使用料いるんか
1:01	kamitama	不仲か？
1:02	イープカ	
1:02	めんとす	こんれーなってなんだ
1:03	Mizuna	こんばん
1:04	瓦斯灯	
1:04	ケンフー	そこにメンバーいるけど
1:04	京林	
1:06	sayyoh	よみよるみ三下
1:06	テルユウ	いないやんw
1:06	てぃれもん	椎名さん要素
1:06	ハロ丸	
1:06	ちなまる	草
1:06	ワタル	ゲーム音爆音すぎん？ｗ
1:07	ラックさん	
1:07	うにあ	いないやんけｗｗ
1:07	藍.	こんれーなー
1:07	星野空	いつもの夜見の甘やかし
1:09	ぐだのすけ	草
1:10	オルマン	草
1:10	シャムねこ	草
