-1:43	むぎま	
-1:40	ちゃんみあ	
-1:40	Metallic	
-1:38	たべっちかにっち	
-1:36	かそく	
-1:36	100日後にウルトが貯まるブロスフゥンダル	おはくず
-1:33	みゅ〜と	
-1:28	京林	
-1:26	๑真琴	お、枠できてた
-1:23	ににんに兄弟	しぃしぃ！？
-1:20	yuyu sasa	
-1:19	アキパン	ちーちゃんついにゆいゆいに引継ぎできるのか
-1:16	みなと	
-1:10	a a	おはくず
-1:10	嶋じろー	
-1:05	桃園あい	また終わらせるのか
-1:04	まあライオン	
-1:01	アムアム	
-0:59	レイゴジラ	
-0:59	クリ	こんれーなー
-0:56	rosugi	ゆいゆい！？
-0:51	Aris	
-0:50	ケンフー	引継ぎ前から配信始めてくれ
-0:50	ななかな	
-0:49	A太	今何キルなの？
-0:47	ああ	株で
-0:44	イープカ	
-0:44	こしあん	
-0:44	みんしぃ[ Min Shiii ]	
-0:42	yuyu sasa	こんれーなってなんだ？
-0:42	モコモコ	
-0:38	time13 inthattime	
-0:31	かざ	
-0:29	てらま	
-0:28	zale	こんれーなー！
-0:26	Nikoa _	
-0:25	うにあ	2000いけたらええな
-0:22	time13 inthattime	
-0:20	ろろ	
-0:20	アズキ8	4時間で500キルか........
-0:19	黎明卿新しきボンドルド	戦いを終わらせるとかレジスタンスっぽいじゃん
-0:12	。メガネが本体	
-0:11	なだきょう	​
-0:07	Nori Nori	
-0:04	アキパン	
-0:02	みなと	ツイ
-0:01	Metallic	
-0:01	しゃけねこ	
-0:00	83ヘチマ	ついえら
0:01	みんしぃ[ Min Shiii ]	つ
0:03	かざ	ついえら
0:04	ないむん	
0:05	スケルトン	
0:05	うりす	ついえら
0:05	みなと	
0:05	炭酸ポカリ	((O))椎名唯華を待っています
0:05	kbf kbf	こんれーなー
0:06	なだきょう	ついえら
0:07	Yuuki	ついえら
0:08	かずき	ついえら
0:08	長岡	ツイート
0:08	ふぉるす	ツイート
0:09	KeyKey	ツイート
0:09	えびリンプ	こんれーなー
0:09	ぷりっつPretz	
0:10	カービィ	ついえら
0:11	嶋じろー	ツイート
0:12	ИATURAL	
