-0:12	とみさたん	
-0:11	Muu 315	この待機人数はすげぇや
-0:11	さくめる	わくわく！
-0:11	霧崎ちゃん	配役どうなるんだろう
-0:11	DICE	パン屋
-0:11	ポポメポメ	はじまるぞぉ！
-0:10	ニコニコ	椎名が人狼固定マジ？
-0:10	人参	笹木今日は長生きしてくれー！
-0:10	あらりん	墓はグウェルのチャンネルいってもろて
-0:10	みなとみらい	2
-0:10	カネゴンオデーン	｢グウェル｣
-0:10	黒猫	はじまる〜
-0:10	萬葉	雪山ではないですよ
-0:09	紺太	わくわく
-0:09	lee	この椎名さんの表情なんか大御所感あるな
-0:09	猫だいふく	2
-0:09	夕空	夜王国ってだけで笑える
-0:09	夕花	しぃしぃ！？
-0:08	ぬぉぉぉお	かわいい
-0:08	甘原。	枠はこことグウェルだけ定期
-0:08	South Shinasu	これもしかして合法的にグウェルさんとふわっちのコラボ見られる？
-0:08	くまま	楽しみー！
-0:07	ほのちぃ。	不破はいつもリア狂だぞ
-0:07	大学生	ヴァンプさん怪しくね？
-0:06	ST P	お邪魔します！
-0:06	ずしりしかかたん	
-0:06	フレイムリンクス	全員のリスナーがここに集結してるのか・・・
-0:05	めたる王	しぃしぃ！？
-0:05	さむ	な、右半分なんか狭いよな
-0:04	_ 涙腺ババアJC	小顔効果
-0:04	山田一郎	ふわっちが人狼になったら秒ですぐばれそう
-0:04	リュー・タンンン	第一夜はグウェルを墓地に置いてターンエンド！
-0:03	しましまうさぎ	まだかなー
-0:03	Ya Ki	さくゆいの表情かわいい
-0:03	けんや	参加者それぞれのファンがここに集結してるのね
-0:03	n n	葛葉青！
-0:03	トリガー	メスボーイ怪しいな
-0:02	三流	ついえら笹木が
-0:02	みどまる	楽しみすぎ
-0:02	てらま	グウェル毎朝死にそう
-0:01	かぐや	笹木パン屋かよ
-0:01	懺悔亭ざんげ	アンジュ「ちょっと胸大きくないですか？人狼ですよね？」
-0:00	ヨナグニさん	楽しみ
-0:00	ばーまん	楽しみ
-0:00	Rabbit Room	しぃしぃ！？
-0:00	白ニット	夜王国の大型コラボて
-0:00	tusk	リゼ王女もいてほしかった
-0:00	すろ	天邪鬼CO
0:01	凩	人狼椎名確定で草
0:01	ゆたろう	ぎゅうぎゅうサムネかわいい
0:01	木下ふぐすけ	アンジュ今日もかわいいね
0:01	あっきぃ	ヴァンプさん怪しくね？
0:02	黒蜜糖 Black sugar	グウェル怪しくね？
0:02	Daru-ダル-	ふぇありす男性COってマ？
0:02	直樹カナン	果たして全員揃ってるのだろうか
0:02	どんぺり	ホットパイおじさん来るかな？
0:03	ライムaoi	雪山人狼もまた見たいな
0:03	コエビfrom Ambergraph	同接待機
0:03	土星人専属歴戦王uketukejo〜〜	葛葉寝てそう
0:03	十六夜暁響	アンジュが自己紹介始めると怪しいぞ
0:03	D.D. Melon	楽しみ
0:04	鼻セレブ	人狼
0:04	Cocoaki【ココアキ】_9	お邪魔しまーす
0:04	s _	待機
0:04	ナオチャン	カツ丼用意して待ってます
0:05	GUNMAくん	
0:05	キルハラ・w・	前は英雄強かったな
0:06	橘シティ	#
0:07	むせ	#
0:07	僕はポケモンマスター	きちゃ
0:07	うぐいジーク	待機で2万人ってエグww
0:08	kira kira	あほあほ人狼思い出す
0:08	しーくん	右側せめぇな
0:08	レビエリハ	🔥グウェル🔥
0:09	泥ぬま	全員パン屋かぁ
0:09	まゆぴっぴ	人狼のふわっちの面白さは異常
0:09	ハリー	椎名が人狼ってことはわかる
0:09	stomach	アンジュ頑張れ
0:09	kbf kbf	うっさ
0:09	月影イオ	
0:10	ツナ缶詰	きちゃ！！
0:10	かざ	
0:10	;さづち	ワクワク
0:10	Aliceさん	きちゃ！
0:10	椿。	きちゃ
0:11	もちもちだいふく	人狼COは草
0:11	*Yozora *	草
0:11	raraodk	きたぁぁぁ
0:12	REO	きちゃ
0:12	Tobahide	おはクズ！
0:12	pankys	
0:12	あおぱちぇ	一体何が始まるんだ
0:12	ネムイ	
0:12	デミ300	きちゃ
0:12	松の	きちゃ
0:12	クロックClock・w・	きた！！！
0:13	can-toku CANトク	もうしんでる・・・・
0:14	足立椅子金	はじまった
0:14	むぎこ	楽しみ！
0:14	FAF厚生局一般職員	きちゃ！
0:14	なまやか	きちゃー！
0:14	オムライスター	草
0:14	モキシワタ	きちゃ！
0:14	ギガボルト40	不破ぁ！？
0:14	銀河	楽しみ
0:15	きうか	きちゃ
0:15	わかメロン	死んでる！
0:15	ひいろ	きちゃ！
0:15	るりこんごういんこ	楽しみ〜
0:15	えんがわおいしいよね	たいきー
0:15	&Ryu	きたぁ！
0:15	鉄の塊	きちゃ
0:15	うはもも	楽しみ
0:15	7 00	きちゃ
0:16	井田いつき	きちゃ！
0:16	つなつな	
0:17	イェイョ	きちゃ
0:17	sak.	きちゃあ
0:17	ガリレオ	きちゃ
0:18	BLUE 350	きちゃ！！
0:18	ろりもと	パン屋対抗がどこで出るかがカギやな
0:18	*はるねこ	きちゃ
0:18	緑茶	きちゃーーーー！！！！！！！！
0:18	ギーマ	きちゃ
0:18	よよ	CO
0:19	よる	きちゃ！
0:19	ふぉーゆ	きちゃ！
0:19	月海	人狼CO草
0:19	tx63	お
0:19	miyayan	きちゃ
0:20	カノン	きちゃ
0:20	聖杯の泥オルタ	お邪魔いたします
0:21	シャムねこ	
0:21	まいなす	きちゃ！
0:21	森啓	
0:21	田舎者	草
0:21	mortimer提督	きちゃ
0:22	marin	きちゃ
0:22	senko	きちゃ
0:22	アマグモ	きちゃー！
0:23	りちゃ	きちゃ
0:23	うどん丼	きちゃ
0:23	高野	きちゃ
0:23	まも*	きちゃ！
0:23	Neco-dog	きちゃ～
0:23	まつぼくり	不破ーッ！！
0:26	〇もっふる〇	きちゃ
0:26	ももちゃ。	きちゃあ
0:26	リンゴ	草
0:26	しろやみ	きちゃ
0:27	咲やん	きちゃー
0:27	瓦斯灯	
0:27	鳩ぽっぽ	きちゃ
0:27	洛水佑馬	
0:27	舌噛み雀	きちゃ！
0:27	手毬	草
0:28	成田ブライアン	人狼しぃしぃ！？
0:28	ヨヨ	われとる
0:28	遅刻魔かりん	きちゃ～
0:28	シルヴィア	きちゃ！
0:28	川原太一	きちゃーーー！
0:29	ぱちゃん	きちゃ！
0:31	てぃれもん	草
0:31	えんがわ3 ・w・	きちゃ
0:31	javasparrow mylife	きたー！！
0:31	ずしりしかかたん	
0:32	kamigataneguse	
0:32	ふかふかのひれ	草
0:32	墓のセイ	きちゃ
0:33	ニキニキ	きちゃ
0:33	みしろくん	きちゃ！
0:33	青のバーサーカー	不破草
0:34	どーナッツ	草
0:34	モヤシーズキングダム	
0:34	PEACE YOU	おは椎名人狼
0:35	LilithSecond	ふわっちが
0:35	まゆぞう	きちゃ
0:36	るらち	ふわっちやられとるやんけ
0:37	パンパンコ	ふわっち
0:37	あみか。	きちゃーー！
0:37	月宮	ふわっち....お前...！！
0:37	ぷりぷりプリン	
0:37	Rコディーノ	
0:37	ルくるの.	きちゃ
0:38	みるくせんべい	きちゃ！
0:38	よんえの	草
0:39	ほー	ふわっち！？
0:39	グリム童話	きちゃ
0:39	齋藤	きちゃ
0:39	mari	きちゃ
0:39	お前の笑顔を守りたい	きちゃ！
0:41	swwwtwwwk	きちゃ！
0:41	あいひろ	椎名人狼かあ
0:42	おはぎ	きちゃ
0:42	PC N	不破草
0:42	匿名	ふわっちやられてね
0:43	ぎるがめっしゅ	
0:43	モカ	きちゃ
0:43	ラビちゃん	合わす気0
0:44	UyuNo	1人撃たれてる
0:44	リグニン	きちゃ
0:44	いちご大福	
0:45	葉月	きちゃー！
0:45	kino	いつものグウェル式レイアウト
0:46	あやね	草
0:46	あいす。	
0:47	ヌマクローになりたい。	
0:48	かやぶき	きちゃ
0:48	レバニラ	草
0:48	藍丸	ふわっち
0:48	深鳥/しんちょー。	きたぁああ！！！！！！
0:49	おかピ	きちゃ
0:49	海里	草
0:49	双蛋碎大石	不破草
0:50	すこーん	きちゃああ
0:51	ASAKA	草
0:51	とょめめ	ふわ・・・
0:51	ハユマーレン	ふわっちーー！！！
0:52	アルケ。	きちゃああ
0:52	T-さん	ふわっち？？
0:52	ふぉるす	ふわっち！？
0:53	エンゼルクリーム	すげー
0:54	エネント_katiku	ふわっち撃たれとるが
0:54	凩	ふわっち吊られてね？
0:55	田中太郎	不破しんでね？
0:56	あしゅ	ふわっち
0:56	抹茶猫ペンギン	不破っち！？
0:57	Y-Earlユキクレ	草
0:58	akirin S【とまと】	ふわっち？
0:58	デスヨ。	ふわっちー！
0:58	アキパン	打ち合わせでしたｗ
0:59	ぷるるん	草
0:59	eico	かたいな
0:59	清水航也	草
1:00	紺野凛	草
1:00	アゲハさん	ここまで打ち合わせなのかｗ
1:01	紅音	ふわっちやられてね？
1:01	りのまろん	かわいい
1:01	AD KK	草
1:02	吉高	ふわっち
1:02	有栖川林檎	ふわっち…？
1:02	アマリ	椎名人狼だ！
1:04	ゆに	ふわっち
1:04	そうごちゃん	ふわっち〜
1:04	直樹カナン	#
1:05	O Tomat	１人撃たれてね？
1:05	亀のコーラ	しぃしぃが人狼なんか
1:05	みしろくん	草
1:05	南耳見	ふわっちぃ…
1:06	えいいち	不破草
1:06	たれぐま,	このレイアウトいいね
1:10	星野空	草
1:10	黒猫	ふわっち！？
1:11	るしゅ	あれ！？
1:12	はるぼう	ふわっち！？
1:12	zale	久しぶりに聞いたな
1:13	アキパン	三下なんて言わないで！
1:13	時速	三下
1:13	もちもちもちた	ふわっちどした？
1:13	Elu	ふわっち...
1:13	なりはる	久々に聞いた
1:13	とおのマン	司会えらい
1:14	tusk	エコー？
1:14	エマノン	ふわっち…？
1:14	山田ピヨ	かわいい
1:14	かん太郎999	
1:14	alf	R.I.P.ふわっち
1:14	きりみんちゃん kirimin-chan	ひさしぶりに聞いた
1:14	もか	
1:15	Lvぜいじゃく少女	草
1:15	みるくせんべい	この口上好き
1:15	a a	なついな
1:15	八重光	草
1:16	フェンリル三世	きちゃ
1:16	楓シオン	草
1:16	スースー	いえー
1:17	osyareP	今日やる気じゃん
1:18	もちピザ	レアなフル詠唱
1:18	To Shi	そんな
1:18	みやぴ	がんばれ〜
1:18	けんしん	椎名人狼？？です
1:19	まさつぐ	草
1:19	KSM SeReeNe	不破死んでるが
1:19	ケンフー	久々やん
1:19	カイ	いぇーい
1:19	さちくろ	がんばえー！
1:19	矢瀬	いえーい
1:19	たいあきAA	久しぶりに聞いた気がする
1:19	直樹カナン	自己紹介
1:19	Mizinko王	ふわっち！？
1:19	ふ	不破ｗ
1:19	tridest	いえー
1:19	U-riユーリ	なんかもうやられてね？
1:20	阿頼耶識	久々の口上
1:20	ギナ#猫	久しぶりに聞いたそれ
1:20	足立椅子金	久々に聞いた口上
1:21	さへぇ	数万年ぶりに聞いた
1:21	もみあげ	大規模コラボの時限定の口上
1:21	カズキ	久しぶりに聞いたなその口上
1:21	もずく	草
1:22	ハッシー	ふわっち？
1:23	はばばば	草
1:23	りんガガー	草
1:23	ねこじろう	フラグ立ってね？
1:23	アオバ	久々に聞いたわ
1:23	マツリカ	ふわっち...
1:23	博多の塩	草
1:24	ももちゃ。	草
1:24	月見うどん	草
1:24	ユキダルマ	久々に聞いた
1:24	りーこりーこ	いえー
1:24	hawk 3795	草
1:24	イクタくん	あやしいな
1:25	めぽ。	草
1:25	ハーバー	草
1:25	H S	草
1:25	おいしい牛乳	草
1:25	もにぎり	でたｗ
1:25	碓氷#うすい	草
1:25	雨音	草
1:26	ハルヤ	草
1:26	ぐみ	ふわ
1:26	クロオビ	しぃしぃ可愛いい
1:26	ゆめ	草
1:27	ぎらぎら星	草
1:28	胡麻よっしー	久々に聞いた気がする
1:28	小石川	巴さまミュートになってね？
1:28	あんどりゅー	草
1:28	ユウギリ	ふわっちーーー！！
1:28	るるるる	草
1:28	母上	草
1:29	Rabbit _539	久しぶりに聞いた
1:30	かずさん	草
1:30	とわせ	久しぶりに聞いた
1:31	うみ	草
1:31	-銘-あき-A ki	草
1:31	ケブカサイ	草
1:32	ポンD	口上かわいいなｗ
1:32	かそく	ふわっち！？
1:32	だだまめちゃ	いえーい
1:32	TIKUWA	草
1:32	シノ	草
1:33	かつどん	草
1:33	鳩ぽっぽ	草
1:33	瀟灑	草
1:33	555 osiruko	草
1:33	つゆ	草
1:33	リッキー	なんか初々しくね？
1:34	あやね	草
1:34	01キーノート	草
1:34	ししるいるい	草
1:34	Nyess 。	草
1:34	AK 107930	草
1:35	庄司拓磨	草
1:35	書店員	草
1:36	ksk 01	草
1:36	イェイョ	草
1:36	白ぼう	草
1:36	2 LCOM	吊られてんじゃん
1:36	ぱちゃん	草
1:37	新鮮さらだ	草
1:37	すまんも	名前バックのレイアウトいいね
1:37	お月	草
1:37	すずやん	草
1:38	しなな	草
1:38	とりみ	草
1:38	Aa Aa	落ちを処理
1:38	らぶりぃ	草
1:38	ルルミ-ルツ	草
1:39	くれあ・あるしぇふぃーるどClaire Alsheffield	草
1:39	すこーん	草
1:39	まぐ_R	草
1:39	まいか	草
1:39	;ふぢの	草
1:40	ぬるゆ	かわいいじゃん
1:41	星宮。	草
1:41	パパくん	草
1:41	おじ	草
1:42	o pinko	草
1:42	コエビfrom Ambergraph	かなかなナイスゥ
1:43	あいうえおにぎり〔鮭〕	草
1:43	サンダオウバ	リゼは吊られた？
1:43	いろはに	テストプレイで撃たれたんやな
1:44	ちゃんめもり	草
1:44	フレイムリンクス	し、死んでる・・・
1:44	ゴリラ・ゴリリ・ゴリル	草
1:44	湯あがりおじさん	草
1:45	ごーやたん	そっと撃たれるホスト
1:45	Nagi	触れられない芸かと思ったw
1:45	マリスステラ	草
1:45	&Ryu	草
1:46	BSR	草
1:46	Ichikoton	草
1:46	くまま	ぴょこぴょこしてる笑
1:47	僕はポケモンマスター	ふわっち…いい奴だったよ…
1:47	時速	てんかいだけ立ち絵気合い入ってて草
1:48	ボンボン	草
1:49	ぐるぐる回線の指原	おはやよ〜
1:49	arts 01	ツッコミ待ちでしたな
1:49	アキパン	やよ～
1:49	kai 10	人狼系増えてくれて楽しい
1:49	オリーブハット	人狼ってガチ人狼か
1:49	緑茶	やよ～
1:49	丸太丸	やよー
1:49	矢澤ヒロ	やよ〜
1:50	レビエリハ	やよー
1:50	すこやか生活.	やよ〜
1:50	ばーまん	やよー
1:50	くりすぷ	おはやよ～
1:50	あおじるおうじ。	かわいいいい
1:50	イド	やよー
1:50	直樹カナン	おはやよ〜
1:51	月森ソラ	草
1:51	wamotin motiron	テストプレイ初日釣り不破やん
1:51	猫	夜だぞ
1:51	O Tomat	やよー
1:51	ラビちゃん	犯人はこの中にいる！！
1:51	白石澪鳳	巴さんミュート？
1:51	ありす	さくゆい
1:51	あっきぃ	巴さん声入ってる？
1:51	ナルくん	おはやよ〜
1:51	なしひさ	おはやよ〜
1:51	韋駄天達磨	草
1:51	たべっちかにっち	ずっとグウェルと一緒じゃん、良かったな！
1:52	SEA	やよ～
1:52	夜空	おはやよ！
1:52	alf	おはやよー
1:52	ごくごく民	しぃさー
1:52	Sun-ho Kim	おはやよ～
1:52	dekarucha	おはやよ
1:52	No. 25	おはやよ～
1:52	とらにゃん	！？
1:52	小倉宏典	司さんめっちゃイケメンやん
1:52	Lvぜいじゃく少女	やよ〜
1:53	桃野パピコ	やよ～
1:53	山燕	パン屋COならず
1:53	なだきょう	草
1:53	ぃゅぅ	しぃさーたすかる
1:53	アマグモ	いえええええい！
1:53	デコポン	草
1:54	アンミツ	パン屋ないのか
1:55	アマラ	おはやよ
1:56	スースー	いえーい
1:56	おいしい牛乳	いえーい
1:56	猫キャベツ	パン屋がない！？
1:56	ぽてと	パン屋ないのか…
1:58	G pen	パン屋なしか
1:58	Rabbit Room	ふわっち初日吊られてるからしぃしぃの目標達成じゃん
1:58	星野空	草
1:58	帝あるま	草
1:58	あの日きみがなにげなく倒したゾンビ	パン屋CO
1:58	民ノ助	パン屋廃業！
1:58	usa usa	パン屋はひどかったなｗ
1:59	すろ	草
1:59	さき	やよー
1:59	ぎるがめっしゅ	おはやよ〜
1:59	服緒掛	笹木だけ揺れないな
1:59	ハユマーレン	パン屋CO
2:00	ミミカス	パン屋CO懐かしいなｗ
2:00	AD KK	おはやよ
2:00	黒猫しぐれ	パン屋ないけどパン屋です！！
2:00	Jing	パン最強
2:01	Khloe Lihzeh	パン屋が無いだと
2:01	パンダマン	おはやよ～
